"Sensor","first10_mean","first10_sd","first10_median","first10_mad","first10_min","first10_max","first10_count","first10_rollmean3","last5_mean","last5_sd","last5_median","last5_mad","last5_min","last5_max","last5_count","last5_rollmean3","full_mean","full_sd","full_median","full_mad","full_min","full_max","full_count","full_rollmean3","within_diff_mean","within_diff_sd","within_diff_median","within_diff_mad","within_diff_min","within_diff_max","within_diff_count","within_diff_rollmean3","full_pct_nonmissing"
"1997.Sensor05",6.41833333333333,NA,6.41833333333333,0,6.41833333333333,6.41833333333333,1,NA,6.364,NA,6.364,0,6.364,6.364,1,NA,4.61586092715232,NA,4.61586092715232,0,4.61586092715232,4.61586092715232,1,NA,-1.80247240618101,NA,-1.80247240618101,0,-1.80247240618101,-1.80247240618101,1,NA,7.14285714285714
"1997.Sensor06",7.498,NA,7.498,0,7.498,7.498,1,NA,5.538,NA,5.538,0,5.538,5.538,1,NA,4.43378640776699,NA,4.43378640776699,0,4.43378640776699,4.43378640776699,1,NA,-3.06421359223301,NA,-3.06421359223301,0,-3.06421359223301,-3.06421359223301,1,NA,7.14285714285714
"1997.Sensor07",NA,NA,NA,NA,NA,NA,0,NA,2.558,NA,2.558,0,2.558,2.558,1,NA,2.99218309859155,NA,2.99218309859155,0,2.99218309859155,2.99218309859155,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1997.Sensor08",3.826,NA,3.826,0,3.826,3.826,1,NA,3.67,NA,3.67,0,3.67,3.67,1,NA,3.51527508090615,NA,3.51527508090615,0,3.51527508090615,3.51527508090615,1,NA,-0.310724919093851,NA,-0.310724919093851,0,-0.310724919093851,-0.310724919093851,1,NA,7.14285714285714
"1997.Sensor09",3.425,NA,3.425,0,3.425,3.425,1,NA,4.41,NA,4.41,0,4.41,4.41,1,NA,3.5111003236246,NA,3.5111003236246,0,3.5111003236246,3.5111003236246,1,NA,0.0861003236245956,NA,0.0861003236245956,0,0.0861003236245956,0.0861003236245956,1,NA,7.14285714285714
"1997.Sensor10",5.076,NA,5.076,0,5.076,5.076,1,NA,5.396,NA,5.396,0,5.396,5.396,1,NA,4.10537216828479,NA,4.10537216828479,0,4.10537216828479,4.10537216828479,1,NA,-0.970627831715211,NA,-0.970627831715211,0,-0.970627831715211,-0.970627831715211,1,NA,7.14285714285714
"1997.Sensor11",6.52,NA,6.52,0,6.52,6.52,1,NA,6.174,NA,6.174,0,6.174,6.174,1,NA,5.76421568627451,NA,5.76421568627451,0,5.76421568627451,5.76421568627451,1,NA,-0.75578431372549,NA,-0.75578431372549,0,-0.75578431372549,-0.75578431372549,1,NA,7.14285714285714
"1997.Sensor12",7.04333333333333,NA,7.04333333333333,0,7.04333333333333,7.04333333333333,1,NA,7.282,NA,7.282,0,7.282,7.282,1,NA,6.3516723549488,NA,6.3516723549488,0,6.3516723549488,6.3516723549488,1,NA,-0.691660978384528,NA,-0.691660978384528,0,-0.691660978384528,-0.691660978384528,1,NA,7.14285714285714
"1997.Sensor13",NA,NA,NA,NA,NA,NA,0,NA,4.294,NA,4.294,0,4.294,4.294,1,NA,4.43895348837209,NA,4.43895348837209,0,4.43895348837209,4.43895348837209,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1997.Sensor14",8.24,NA,8.24,0,8.24,8.24,1,NA,5.062,NA,5.062,0,5.062,5.062,1,NA,5.09980582524272,NA,5.09980582524272,0,5.09980582524272,5.09980582524272,1,NA,-3.14019417475728,NA,-3.14019417475728,0,-3.14019417475728,-3.14019417475728,1,NA,7.14285714285714
"1997.Sensor15",8.411,NA,8.411,0,8.411,8.411,1,NA,5.188,NA,5.188,0,5.188,5.188,1,NA,6.13425170068027,NA,6.13425170068027,0,6.13425170068027,6.13425170068027,1,NA,-2.27674829931973,NA,-2.27674829931973,0,-2.27674829931973,-2.27674829931973,1,NA,7.14285714285714
"1997.Sensor16",NA,NA,NA,NA,NA,NA,0,NA,5.308,NA,5.308,0,5.308,5.308,1,NA,5.50387596899225,NA,5.50387596899225,0,5.50387596899225,5.50387596899225,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1997.Sensor17",2.75444444444444,NA,2.75444444444444,0,2.75444444444444,2.75444444444444,1,NA,NA,NA,NA,NA,NA,NA,0,NA,2.39289592760181,NA,2.39289592760181,0,2.39289592760181,2.39289592760181,1,NA,-0.361548516842635,NA,-0.361548516842635,0,-0.361548516842635,-0.361548516842635,1,NA,7.14285714285714
"1997.Sensor18",3.754,NA,3.754,0,3.754,3.754,1,NA,3.792,NA,3.792,0,3.792,3.792,1,NA,3.46863636363636,NA,3.46863636363636,0,3.46863636363636,3.46863636363636,1,NA,-0.285363636363636,NA,-0.285363636363636,0,-0.285363636363636,-0.285363636363636,1,NA,7.14285714285714
"1997.Sensor19",6.227,NA,6.227,0,6.227,6.227,1,NA,6,NA,6,0,6,6,1,NA,5.69564935064935,NA,5.69564935064935,0,5.69564935064935,5.69564935064935,1,NA,-0.531350649350649,NA,-0.531350649350649,0,-0.531350649350649,-0.531350649350649,1,NA,7.14285714285714
